# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-39.96175319 -90.41790123 -39.9617533 ];[-0.14671493815230305, 0.14671495863621398, 2.438245119379324, -2.438245064719189]
[-39.95721404 -90.44149463 -31.95606774];[0.13278020542251584, 0.1361462088456899, 2.291810947074616, -2.4880786839009525]
[-39.95398396 -90.45504974 -23.95431237];[0.42151032888874346, 0.13590327750354508, 2.114101371561853, -2.5101908380204403]
[-39.9514658  -90.46332978 -15.96010252];[0.7230089875813547, 0.14319760751651572, 1.8982513705899897, -2.5099090246584557]
[-39.95029801 -90.4618368   -7.97632692];[1.0355881112380285, 0.15242992354764623, 1.6411482937976718, -2.499306559350879]
[-3.99504366e+01 -9.04556592e+01 -3.71598144e-09];[1.3482063788410472, 0.1566237350843377, 1.3482063413733782, -2.4934475678505583]
[-39.95029798 -90.46183701   7.9763269 ];[1.6411483233881732, 0.1524299215591997, 1.0355880724518913, -2.499306550733385]
[-39.9514658  -90.46332981  15.96010251];[1.8982513919169168, 0.1431976063501493, 0.7230089551400256, -2.509909030614221]
[-39.95398395 -90.45504983  23.95431237];[2.114101370650205, 0.13590326506085199, 0.4215103419337676, -2.510190839017309]
[-39.95721403 -90.4414947   31.95606774];[2.291810946563265, 0.1361461968015335, 0.13278021635528078, -2.488078667982854]
[-39.96175319 -90.41790124  39.9617533 ];[2.438245117769097, 0.1467149488359607, -0.14671492986357987, -2.4382450565310547]
[-31.95606778 -90.44149348  39.95721427];[2.488078779281501, -0.13278021903656137, -0.13614616867612922, -2.291810968604452]
[-31.95074983 -90.47098055  31.95074992];[2.339207542918932, -0.14677073146858444, 0.14677074432874765, -2.3392075180725564]
[-31.94759784 -90.48697768  23.94880222];[2.1596727262205526, -0.14933234601435222, 0.4396062809896361, -2.358806163917552]
[-31.94555441 -90.49734877  15.95514217];[1.9417992725549769, -0.14318142670222175, 0.7461472116764456, -2.3557791473372935]
[-31.94504669 -90.49668602   7.97327149];[1.6815637171793152, -0.1342136540721711, 1.0647670100381232, -2.342733397863045]
[-3.19455240e+01 -9.04904408e+01  2.83381468e-09];[1.383645954832629, -0.12999660300079946, 1.3836459616090193, -2.3358416103844735]
