# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-5.77320380e-10 -9.06648691e+01 -1.62415454e-10];[1.3741682657227816, -1.3741682874012078, 1.3741682567130564, -1.374168255514899]
[ 2.39429406e+01 -9.84811032e+01 -2.94787835e-10];[1.1294620766864052, -1.8498635650124466, 1.1294620696612285, -0.27633724265620485]
[ 15.95619839 -98.4897368  -15.95619844];[0.5640166728322394, -1.6427420803056818, 1.6427420584424781, -0.5640166567782254]
[ 15.95467292 -98.50002905  -7.97507383];[0.8494464717220014, -1.6384287369371628, 1.3998209001775819, -0.5599369813637924]
[ 1.59536155e+01 -9.85093822e+01 -1.02740037e-09];[1.131771434790632, -1.6353467417797347, 1.1317714286345018, -0.5575576219077296]
[ 15.95467292 -98.50002906   7.97507383];[1.3998209005863143, -1.6384287256981032, 0.8494464655312559, -0.5599369746079415]
[ 15.95619839 -98.48973684  15.95619844];[1.6427420571037068, -1.6427420804402157, 0.564016664942112, -0.5640166565041816]
[  7.97554524 -98.49053237  15.95553497];[1.6387914783266495, -1.4001628994674786, 0.5601111294148708, -0.8496796088500554]
[  7.9731158  -98.53373546   7.97311583];[1.395030577881612, -1.3950306125929717, 0.8451543505881125, -0.845154341441914]
[ 7.97252874e+00 -9.85436504e+01  1.85449082e-09];[1.1273804631731763, -1.392176273337603, 1.127380474340366, -0.8427317368683975]
[  7.9731158  -98.5337355   -7.97311583];[0.845154348068954, -1.3950306181580538, 1.395030571059124, -0.8451543336058704]
[  7.97554525 -98.49053233 -15.95553497];[0.5601111437225897, -1.4001629088648606, 1.638791498367142, -0.8496796194865488]
[ 3.22239156e-09 -9.84542342e+01 -2.39461497e+01];[0.2767094401748295, -1.1303032598917575, 1.850905518674569, -1.1303032669632982]
[ 2.25533632e-10 -9.84905768e+01 -1.59553308e+01];[0.5578964890707495, -1.1323491578242044, 1.6360554395533045, -1.1323491400092025]
[-2.23564329e-10 -9.85336733e+01 -7.97303140e+00];[0.8429659249869252, -1.1276787324336672, 1.3925214298925068, -1.1276787252144673]
[-8.23343430e-10 -9.85860968e+01 -1.60161513e-09];[1.1238396469060712, -1.1238396702646134, 1.1238396384661757, -1.123839646918729]
[-9.54923939e-10 -9.85336733e+01  7.97303140e+00];[1.392521447307774, -1.1276787455607225, 0.842965894883518, -1.1276787167128701]
[-1.19712828e-09 -9.84905768e+01  1.59553308e+01];[1.6360554409626689, -1.132349168151169, 0.5578964812110241, -1.1323491337573617]
[-6.84600843e-10 -9.84542342e+01  2.39461497e+01];[1.850905513108398, -1.130303258443645, 0.2767094148070204, -1.1303032383138958]
[ -7.97554524 -98.49053237  15.95553497];[1.6387914788420523, -0.8496796348160955, 0.5601111579409364, -1.4001628907618797]
[ -7.9731158  -98.53373548   7.97311583];[1.3950305622713874, -0.8451543554776602, 0.8451543502236647, -1.3950305747262501]
[-7.97252873e+00 -9.85436504e+01  9.33690474e-10];[1.1273804612362825, -0.8427317405696713, 1.127380456636922, -1.3921762664478319]
[ -7.9731158  -98.53373552  -7.97311582];[0.845154339775744, -0.845154358980581, 1.395030564949616, -1.395030572338465]
[ -7.97554524 -98.49053235 -15.95553497];[0.560111133468482, -0.8496796508157756, 1.6387914872308056, -1.4001628828669967]
[-15.95619839 -98.48973682 -15.95619844];[0.5640166750651632, -0.5640166887365547, 1.64274205030281, -1.6427420505638026]
[-15.95467292 -98.50002904  -7.97507383];[0.8494464628427463, -0.5599369875767181, 1.399820900739364, -1.6384287009408487]
[-1.59536155e+01 -9.85093823e+01 -1.77827894e-09];[1.131771440591006, -0.5575576282277958, 1.1317714280645363, -1.6353467371424848]
[-15.95467293 -98.50002902   7.97507383];[1.3998209005407396, -0.5599369823034954, 0.8494464801402146, -1.6384287057812053]
[-15.95619839 -98.48973688  15.95619844];[1.6427420438684577, -0.5640166855315409, 0.5640166743737275, -1.6427420466229927]
[-2.39429407e+01 -9.84811032e+01  1.26700180e-09];[1.1294620632492982, -0.27633726090746663, 1.1294620709906766, -1.8498635199640714]
[-3.19254267e+01 -1.06418844e+02 -8.88401804e-11];[0.875416208490935, 0.12010345722427782, 0.8754161989531515, -1.7682233077115583]
[ -23.94190031 -106.42307637  -15.95988912];[0.3898077440392622, -0.137885564270232, 1.3584007908137912, -1.575073926055198]
